time,pm2_5,pm10,nitrogen_dioxide,ozone
2026-09-17 00:00:00,18.2,20.0,32.8,52.0
2026-09-17 01:00:00,14.4,16.1,20.9,58.0
2026-09-17 02:00:00,12.4,14.0,12.8,59.0
2026-09-17 03:00:00,12.1,13.6,11.1,53.0
2026-09-17 04:00:00,12.2,13.7,13.2,42.0
2026-09-17 05:00:00,9.6,10.7,12.0,48.0
2026-09-17 06:00:00,11.5,12.7,12.3,48.0
2026-09-17 07:00:00,9.5,10.5,12.6,49.0
2026-09-17 08:00:00,7.5,8.6,11.9,54.0
2026-09-17 09:00:00,6.7,7.9,9.4,68.0
2026-09-17 10:00:00,6.2,7.5,6.0,86.0
2026-09-17 11:00:00,5.7,6.8,3.5,101.0
2026-09-17 12:00:00,6.1,7.1,2.4,111.0
2026-09-17 13:00:00,5.6,6.5,2.1,117.0
2026-09-17 14:00:00,5.6,6.6,3.2,119.0
2026-09-17 15:00:00,5.6,6.5,6.1,115.0
2026-09-17 16:00:00,5.8,6.8,10.3,106.0
2026-09-17 17:00:00,10.1,12.9,11.1,99.0
2026-09-17 18:00:00,13.8,16.6,16.9,83.0
2026-09-17 19:00:00,13.9,16.2,24.8,61.0
2026-09-17 20:00:00,14.3,16.5,29.8,44.0
2026-09-17 21:00:00,13.6,15.5,29.2,38.0
2026-09-17 22:00:00,12.2,13.8,25.6,37.0
2026-09-17 23:00:00,10.2,11.4,21.9,37.0
2026-09-18 00:00:00,8.5,9.5,18.6,36.0
2026-09-18 01:00:00,7.5,8.6,15.2,35.0
2026-09-18 02:00:00,7.0,8.3,12.6,34.0
2026-09-18 03:00:00,6.7,8.3,11.6,31.0
2026-09-18 04:00:00,6.6,8.6,11.5,27.0
2026-09-18 05:00:00,6.1,8.8,10.4,31.0
2026-09-18 06:00:00,7.4,10.8,10.3,31.0
2026-09-18 07:00:00,8.2,13.4,10.0,31.0
2026-09-18 08:00:00,8.5,16.2,9.3,34.0
2026-09-18 09:00:00,9.0,18.0,7.6,43.0
2026-09-18 10:00:00,9.7,19.7,5.4,56.0
2026-09-18 11:00:00,10.2,20.6,3.7,67.0
2026-09-18 12:00:00,10.4,20.5,2.9,76.0
2026-09-18 13:00:00,10.5,20.1,2.7,83.0
2026-09-18 14:00:00,10.7,19.8,3.2,86.0
2026-09-18 15:00:00,10.4,19.2,4.5,84.0
2026-09-18 16:00:00,10.4,18.6,6.6,79.0
2026-09-18 17:00:00,10.9,16.5,19.4,59.0
2026-09-18 18:00:00,17.9,22.8,29.1,45.0
2026-09-18 19:00:00,21.8,26.8,42.1,25.0
2026-09-18 20:00:00,21.0,25.3,48.9,14.0
2026-09-18 21:00:00,16.6,20.3,43.6,18.0
2026-09-18 22:00:00,14.6,17.7,32.0,30.0
2026-09-18 23:00:00,12.1,14.7,22.3,39.0
2026-09-19 00:00:00,10.2,12.2,17.4,41.0
2026-09-19 01:00:00,9.2,10.8,14.3,41.0
2026-09-19 02:00:00,8.4,9.9,12.2,39.0
2026-09-19 03:00:00,7.8,9.3,11.0,36.0
2026-09-19 04:00:00,7.3,9.0,10.8,32.0
2026-09-19 05:00:00,7.3,9.1,11.3,29.0
2026-09-19 06:00:00,8.7,10.8,10.4,32.0
2026-09-19 07:00:00,7.7,11.0,9.0,36.0
2026-09-19 08:00:00,8.1,12.8,7.6,44.0
2026-09-19 09:00:00,8.7,14.6,5.9,60.0
2026-09-19 10:00:00,9.6,16.2,4.1,80.0
2026-09-19 11:00:00,10.5,17.5,2.9,94.0
2026-09-19 12:00:00,10.6,17.4,2.6,98.0
2026-09-19 13:00:00,10.5,17.1,3.0,97.0
2026-09-19 14:00:00,9.7,15.7,4.2,93.0
2026-09-19 15:00:00,10.1,16.1,6.3,88.0
2026-09-19 16:00:00,11.5,17.8,9.4,82.0
2026-09-19 17:00:00,8.9,13.8,11.4,71.0
2026-09-19 18:00:00,17.2,21.3,22.9,55.0
2026-09-19 19:00:00,23.6,27.8,38.6,33.0
2026-09-19 20:00:00,22.9,26.6,48.8,17.0
2026-09-19 21:00:00,16.5,19.2,48.5,14.0
2026-09-19 22:00:00,15.1,17.5,42.7,18.0
2026-09-19 23:00:00,14.9,17.3,36.7,22.0
2026-09-20 00:00:00,13.0,15.5,31.9,25.0
2026-09-20 01:00:00,14.0,16.5,26.8,27.0
2026-09-20 02:00:00,12.3,14.6,22.8,29.0
2026-09-20 03:00:00,11.4,13.5,20.7,28.0
2026-09-20 04:00:00,11.3,13.5,19.5,25.0
2026-09-20 05:00:00,5.0,6.4,8.6,41.0
2026-09-20 06:00:00,6.8,8.2,11.6,36.0
2026-09-20 07:00:00,8.8,10.5,15.6,29.0
2026-09-20 08:00:00,9.3,11.4,17.6,25.0
2026-09-20 09:00:00,8.9,11.7,15.6,28.0
2026-09-20 10:00:00,8.4,11.8,11.5,34.0
2026-09-20 11:00:00,7.8,11.5,8.1,41.0
2026-09-20 12:00:00,7.0,10.5,6.3,48.0
2026-09-20 13:00:00,6.7,9.9,5.1,55.0
2026-09-20 14:00:00,6.4,9.4,4.8,61.0
2026-09-20 15:00:00,6.2,9.0,4.8,65.0
2026-09-20 16:00:00,6.0,8.4,5.7,68.0
2026-09-20 17:00:00,9.1,12.2,13.0,66.0
2026-09-20 18:00:00,18.6,21.8,27.1,49.0
2026-09-20 19:00:00,30.5,33.9,45.9,27.0
2026-09-20 20:00:00,35.5,38.6,56.3,12.0
2026-09-20 21:00:00,28.6,31.4,50.2,13.0
2026-09-20 22:00:00,17.6,20.1,35.7,22.0
2026-09-20 23:00:00,13.1,15.5,23.2,30.0
2026-09-21 00:00:00,10.2,12.3,16.5,34.0
2026-09-21 01:00:00,7.9,9.5,11.8,36.0
2026-09-21 02:00:00,6.2,7.1,8.6,38.0
2026-09-21 03:00:00,5.0,5.3,7.1,38.0
2026-09-21 04:00:00,4.3,4.5,7.1,37.0
2026-09-21 05:00:00,4.4,5.1,6.6,44.0
2026-09-21 06:00:00,5.5,6.1,8.3,42.0
