time,temperature_2m,relative_humidity_2m,precipitation
2026-09-24 00:00:00,21.3,75,0.0
2026-09-24 01:00:00,20.6,81,0.1
2026-09-24 02:00:00,20.2,87,0.5
2026-09-24 03:00:00,20.2,88,0.2
2026-09-24 04:00:00,20.0,87,0.0
2026-09-24 05:00:00,20.1,85,0.0
2026-09-24 06:00:00,20.1,87,0.1
2026-09-24 07:00:00,20.7,84,0.1
2026-09-24 08:00:00,22.3,79,0.1
2026-09-24 09:00:00,24.0,71,0.0
2026-09-24 10:00:00,25.3,64,0.0
2026-09-24 11:00:00,26.1,57,0.0
2026-09-24 12:00:00,25.4,61,0.5
2026-09-24 13:00:00,23.6,71,1.0
2026-09-24 14:00:00,22.2,83,1.2
2026-09-24 15:00:00,23.8,78,0.3
2026-09-24 16:00:00,24.4,74,0.1
2026-09-24 17:00:00,23.5,82,0.1
2026-09-24 18:00:00,22.4,84,0.1
2026-09-24 19:00:00,22.0,85,0.0
2026-09-24 20:00:00,21.8,86,0.0
2026-09-24 21:00:00,21.8,85,0.0
2026-09-24 22:00:00,21.4,87,0.0
2026-09-24 23:00:00,21.4,88,0.0
2026-09-25 00:00:00,21.3,89,0.0
2026-09-25 01:00:00,21.2,88,0.0
2026-09-25 02:00:00,21.3,88,0.0
2026-09-25 03:00:00,21.0,89,0.0
2026-09-25 04:00:00,20.8,91,0.0
2026-09-25 05:00:00,20.6,92,0.0
2026-09-25 06:00:00,20.5,93,0.0
2026-09-25 07:00:00,21.4,89,0.0
2026-09-25 08:00:00,23.5,76,0.1
2026-09-25 09:00:00,24.2,73,0.1
2026-09-25 10:00:00,25.8,65,0.2
2026-09-25 11:00:00,26.4,64,0.9
2026-09-25 12:00:00,27.9,60,0.5
2026-09-25 13:00:00,28.4,57,0.0
2026-09-25 14:00:00,28.2,57,0.0
2026-09-25 15:00:00,25.2,68,0.8
2026-09-25 16:00:00,25.2,72,0.1
2026-09-25 17:00:00,24.0,79,0.1
2026-09-25 18:00:00,21.7,92,1.4
2026-09-25 19:00:00,21.7,91,0.0
2026-09-25 20:00:00,21.8,91,0.0
2026-09-25 21:00:00,21.7,90,0.0
2026-09-25 22:00:00,21.2,91,0.0
2026-09-25 23:00:00,20.6,92,0.0
2026-09-26 00:00:00,20.1,95,0.0
2026-09-26 01:00:00,20.2,94,0.0
2026-09-26 02:00:00,20.0,94,0.0
2026-09-26 03:00:00,19.9,94,0.0
2026-09-26 04:00:00,20.1,94,0.0
2026-09-26 05:00:00,20.3,92,0.0
2026-09-26 06:00:00,20.5,91,0.0
2026-09-26 07:00:00,21.2,86,0.0
2026-09-26 08:00:00,22.5,78,0.1
2026-09-26 09:00:00,24.1,71,0.1
2026-09-26 10:00:00,25.3,65,0.0
2026-09-26 11:00:00,27.0,58,0.2
2026-09-26 12:00:00,28.1,48,0.0
2026-09-26 13:00:00,28.8,45,0.0
2026-09-26 14:00:00,29.0,43,0.0
2026-09-26 15:00:00,29.0,43,0.0
2026-09-26 16:00:00,28.8,43,0.0
2026-09-26 17:00:00,27.9,46,0.0
2026-09-26 18:00:00,25.9,59,0.0
2026-09-26 19:00:00,24.9,64,0.0
2026-09-26 20:00:00,24.2,64,0.0
2026-09-26 21:00:00,22.9,72,0.0
2026-09-26 22:00:00,22.0,77,0.0
2026-09-26 23:00:00,21.2,81,0.0
2026-09-27 00:00:00,20.6,84,0.0
2026-09-27 01:00:00,20.1,87,0.0
2026-09-27 02:00:00,19.6,90,0.0
2026-09-27 03:00:00,19.3,93,0.0
2026-09-27 04:00:00,19.0,95,0.0
2026-09-27 05:00:00,18.8,96,0.0
2026-09-27 06:00:00,18.6,97,0.0
2026-09-27 07:00:00,20.3,88,0.0
2026-09-27 08:00:00,22.3,79,0.0
2026-09-27 09:00:00,24.6,66,0.0
2026-09-27 10:00:00,26.5,56,0.0
2026-09-27 11:00:00,28.0,48,0.0
2026-09-27 12:00:00,28.9,44,0.0
2026-09-27 13:00:00,29.5,42,0.0
2026-09-27 14:00:00,29.8,41,0.0
2026-09-27 15:00:00,29.7,41,0.0
2026-09-27 16:00:00,29.2,42,0.0
2026-09-27 17:00:00,28.6,43,0.0
2026-09-27 18:00:00,27.3,49,0.0
2026-09-27 19:00:00,26.3,56,0.0
2026-09-27 20:00:00,25.5,59,0.0
2026-09-27 21:00:00,24.9,61,0.0
2026-09-27 22:00:00,23.8,64,0.0
2026-09-27 23:00:00,22.7,79,0.0
2026-09-28 00:00:00,22.0,84,0.0
2026-09-28 01:00:00,21.4,89,0.0
2026-09-28 02:00:00,20.9,93,0.0
2026-09-28 03:00:00,20.2,97,0.0
2026-09-28 04:00:00,19.6,100,0.0
2026-09-28 05:00:00,19.6,99,0.0
2026-09-28 06:00:00,20.6,92,0.0
2026-09-28 07:00:00,22.2,81,0.0
2026-09-28 08:00:00,24.0,69,0.0
2026-09-28 09:00:00,26.1,58,0.0
2026-09-28 10:00:00,28.3,47,0.0
2026-09-28 11:00:00,30.2,40,0.0
2026-09-28 12:00:00,31.4,35,0.0
2026-09-28 13:00:00,32.1,32,0.0
2026-09-28 14:00:00,32.3,31,0.0
2026-09-28 15:00:00,31.7,32,0.2
2026-09-28 16:00:00,30.5,35,0.2
2026-09-28 17:00:00,29.4,39,0.2
2026-09-28 18:00:00,28.6,42,0.0
