time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-09-24 00:00:00,21.3,85,0.0,16.7
2026-09-24 01:00:00,20.7,88,0.0,16.2
2026-09-24 02:00:00,20.6,90,0.0,16.7
2026-09-24 03:00:00,20.6,91,0.0,16.3
2026-09-24 04:00:00,20.6,90,0.0,17.7
2026-09-24 05:00:00,21.4,89,0.0,17.9
2026-09-24 06:00:00,21.6,88,0.0,17.0
2026-09-24 07:00:00,22.5,82,0.0,17.8
2026-09-24 08:00:00,24.0,73,0.0,19.0
2026-09-24 09:00:00,26.1,58,0.0,22.9
2026-09-24 10:00:00,27.4,51,0.0,25.9
2026-09-24 11:00:00,28.3,47,0.0,27.6
2026-09-24 12:00:00,28.4,47,0.0,28.3
2026-09-24 13:00:00,28.7,46,0.0,28.4
2026-09-24 14:00:00,28.8,47,0.0,27.7
2026-09-24 15:00:00,27.0,53,0.0,26.5
2026-09-24 16:00:00,27.2,54,0.0,29.3
2026-09-24 17:00:00,25.2,62,0.0,27.1
2026-09-24 18:00:00,23.9,71,0.0,25.0
2026-09-24 19:00:00,22.9,78,0.0,22.1
2026-09-24 20:00:00,22.6,81,0.0,21.7
2026-09-24 21:00:00,22.5,83,0.0,22.2
2026-09-24 22:00:00,22.4,84,0.0,20.0
2026-09-24 23:00:00,22.1,86,0.0,18.9
2026-09-25 00:00:00,22.3,85,0.0,17.8
2026-09-25 01:00:00,22.2,86,0.0,16.2
2026-09-25 02:00:00,22.0,88,0.0,17.3
2026-09-25 03:00:00,22.1,87,0.0,17.3
2026-09-25 04:00:00,21.9,87,0.0,18.0
2026-09-25 05:00:00,21.5,88,0.0,17.4
2026-09-25 06:00:00,21.5,88,0.0,17.8
2026-09-25 07:00:00,22.8,82,0.0,20.6
2026-09-25 08:00:00,24.4,74,0.0,21.4
2026-09-25 09:00:00,25.9,68,0.0,20.3
2026-09-25 10:00:00,26.8,64,0.0,19.2
2026-09-25 11:00:00,27.5,61,0.0,19.3
2026-09-25 12:00:00,29.6,55,0.0,22.5
2026-09-25 13:00:00,26.7,67,1.3,23.9
2026-09-25 14:00:00,26.2,74,1.5,18.9
2026-09-25 15:00:00,27.4,63,0.3,22.7
2026-09-25 16:00:00,25.2,74,0.4,25.4
2026-09-25 17:00:00,25.1,71,0.1,23.8
2026-09-25 18:00:00,24.0,76,0.0,21.1
2026-09-25 19:00:00,23.1,81,0.0,20.6
2026-09-25 20:00:00,22.3,86,0.0,17.3
2026-09-25 21:00:00,21.9,88,0.0,16.3
2026-09-25 22:00:00,21.7,88,0.0,17.7
2026-09-25 23:00:00,21.4,89,0.0,17.4
2026-09-26 00:00:00,21.6,88,0.0,18.2
2026-09-26 01:00:00,21.6,88,0.0,17.6
2026-09-26 02:00:00,22.0,85,0.0,18.7
2026-09-26 03:00:00,21.5,87,0.0,17.5
2026-09-26 04:00:00,21.2,87,0.0,18.1
2026-09-26 05:00:00,21.1,86,0.0,17.8
2026-09-26 06:00:00,20.9,86,0.0,16.8
2026-09-26 07:00:00,21.5,81,0.0,16.3
2026-09-26 08:00:00,23.3,69,0.0,17.2
2026-09-26 09:00:00,25.7,56,0.0,18.4
2026-09-26 10:00:00,27.9,50,0.0,18.5
2026-09-26 11:00:00,29.4,48,0.0,19.9
2026-09-26 12:00:00,30.7,41,0.0,19.9
2026-09-26 13:00:00,31.3,38,0.0,19.3
2026-09-26 14:00:00,30.4,42,0.0,21.5
2026-09-26 15:00:00,29.5,47,0.2,19.7
2026-09-26 16:00:00,28.7,51,0.2,20.0
2026-09-26 17:00:00,26.7,63,0.1,20.9
2026-09-26 18:00:00,24.4,74,0.0,19.8
2026-09-26 19:00:00,23.5,79,0.0,15.8
2026-09-26 20:00:00,22.9,82,0.0,13.1
2026-09-26 21:00:00,22.4,85,0.0,12.4
2026-09-26 22:00:00,21.8,88,0.0,12.2
2026-09-26 23:00:00,21.3,91,0.0,13.0
2026-09-27 00:00:00,20.9,93,0.0,11.2
2026-09-27 01:00:00,20.6,94,0.0,9.1
2026-09-27 02:00:00,20.4,94,0.0,9.1
2026-09-27 03:00:00,20.3,94,0.0,8.5
2026-09-27 04:00:00,20.2,95,0.0,8.8
2026-09-27 05:00:00,20.2,94,0.0,7.7
2026-09-27 06:00:00,20.2,94,0.0,7.2
2026-09-27 07:00:00,22.1,84,0.0,6.6
2026-09-27 08:00:00,24.3,75,0.0,5.5
2026-09-27 09:00:00,26.4,66,0.0,7.1
2026-09-27 10:00:00,28.2,58,0.1,8.5
2026-09-27 11:00:00,28.9,56,0.2,7.6
2026-09-27 12:00:00,30.0,52,0.3,7.8
2026-09-27 13:00:00,30.4,50,0.0,9.2
2026-09-27 14:00:00,30.2,50,0.0,9.9
2026-09-27 15:00:00,29.9,51,0.0,11.1
2026-09-27 16:00:00,28.9,54,0.1,10.3
2026-09-27 17:00:00,27.2,61,0.2,14.2
2026-09-27 18:00:00,25.3,73,0.0,12.0
2026-09-27 19:00:00,24.6,80,0.0,14.2
2026-09-27 20:00:00,23.9,83,0.0,13.0
2026-09-27 21:00:00,23.3,86,0.0,11.6
2026-09-27 22:00:00,22.7,90,0.0,10.7
2026-09-27 23:00:00,22.1,93,0.0,10.4
2026-09-28 00:00:00,21.7,95,0.0,9.3
2026-09-28 01:00:00,21.5,96,0.0,8.4
2026-09-28 02:00:00,21.3,97,0.0,7.7
2026-09-28 03:00:00,21.0,98,0.0,7.4
2026-09-28 04:00:00,20.8,97,0.0,7.4
2026-09-28 05:00:00,20.9,95,0.0,7.0
2026-09-28 06:00:00,21.6,90,0.0,5.9
2026-09-28 07:00:00,22.7,84,0.0,4.4
